,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure
0,3.5e-07,0.0,7.303007e-12
1,0.00667595,1.1111111111111112,2.103254e-11
2,0.012186033333333334,2.2222222222222223,2.399573e-11
3,0.017671133333333332,3.3333333333333335,2.17733e-11
4,0.0231591,4.444444444444445,2.508222e-11
5,0.028624883333333333,5.555555555555555,2.389693e-11
6,0.03412385,6.666666666666667,2.226718e-11
7,0.039610733333333335,7.777777777777779,2.562547e-11
8,0.045129083333333334,8.88888888888889,2.187208e-11
9,0.05064651666666666,10.0,2.715646e-11
