,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure
0,2.5e-07,0.0,7.846239e-12
1,0.006566216666666667,1.1111111111111112,2.394632e-11
2,0.012041483333333334,2.2222222222222223,2.093373e-11
3,0.01755,3.3333333333333335,2.878623e-11
4,0.0230373,4.444444444444445,2.157578e-11
5,0.02853348333333333,5.555555555555555,2.231657e-11
6,0.03401283333333334,6.666666666666667,2.62675e-11
7,0.03951436666666666,7.777777777777779,2.098312e-11
8,0.04515361666666667,8.88888888888889,2.404509e-11
9,0.05068728333333334,10.0,2.127946e-11
