,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure,GPIB::4 Voltage Set,GPIB::4 Current Measure,GPIB::7 Current Set,GPIB::7 Voltage Measure
0,3.8333333333333335e-07,0.0,1.056248e-11,10.0,-1.972578e-11,1.0,0.09940816
1,0.010582466666666667,0.5263157894736842,1.441466e-11,10.0,-3.345031e-11,1.4736842105263157,0.09930034
2,0.01908793333333333,1.0526315789473684,1.209348e-11,10.0,-4.078335e-11,1.9473684210526314,0.09936262
3,0.027542733333333333,1.5789473684210527,1.100696e-11,10.0,-4.544076e-11,2.4210526315789473,0.09933502
4,0.036118033333333334,2.1052631578947367,1.559993e-11,10.0,-3.825639e-11,2.894736842105263,0.09937364
5,0.044614016666666666,2.631578947368421,1.199475e-11,10.0,-4.360748e-11,3.3684210526315788,0.09932116
6,0.05307286666666667,3.1578947368421053,1.125388e-11,10.0,-4.430119e-11,3.8421052631578947,0.09938446
7,0.06169461666666667,3.6842105263157894,1.446407e-11,10.0,-4.187338e-11,4.315789473684211,0.09934103
8,0.0701654,4.2105263157894735,1.485913e-11,10.0,-4.241835e-11,4.789473684210526,0.09932697
9,0.07863428333333333,4.7368421052631575,1.021671e-11,10.0,-4.499486e-11,5.263157894736842,0.09933694
10,0.08709713333333333,5.263157894736842,1.283426e-11,10.0,-4.326063e-11,5.7368421052631575,0.09936371
11,0.09555818333333334,5.789473684210526,1.372326e-11,10.0,-4.370661e-11,6.2105263157894735,0.09936386
12,0.10416251666666666,6.315789473684211,1.555054e-11,10.0,-4.524259e-11,6.684210526315789,0.09933794
13,0.11263636666666667,6.842105263157895,1.021674e-11,10.0,-4.648125e-11,7.157894736842105,0.09936106
14,0.12108416666666666,7.368421052631579,1.322937e-11,10.0,-4.544074e-11,7.63157894736842,0.09936074
15,0.12967415,7.894736842105263,1.100696e-11,10.0,-4.558942e-11,8.105263157894736,0.09936494
16,0.13816835,8.421052631578947,1.471099e-11,10.0,-4.440029e-11,8.578947368421051,0.09930926
17,0.14675868333333333,8.947368421052632,1.169833e-11,10.0,-4.717492e-11,9.052631578947368,0.09932305
18,0.15522936666666667,9.473684210526315,1.100695e-11,10.0,-4.871089e-11,9.526315789473683,0.09936564
19,0.16367793333333333,10.0,1.130322e-11,10.0,-4.598578e-11,10.0,0.09933898
