,Time (min),Voltage Set,Current Measure
0,0.00102,0.0,1.278491e-11
1,23.58606,0.5263157894736842,1.451343e-11
2,43.35258,1.0526315789473684,1.125393e-11
3,63.21888,1.5789473684210527,1.258737e-11
4,83.11710000000001,2.1052631578947367,1.510608e-11
5,103.03566,2.631578947368421,1.584685e-11
6,122.83200000000001,3.1578947368421053,1.258736e-11
7,142.74666,3.6842105263157894,1.525425e-11
8,162.62154,4.2105263157894735,1.01181e-11
9,182.43612,4.7368421052631575,1.357505e-11
10,202.25868,5.263157894736842,1.708153e-11
11,222.03071999999997,5.789473684210526,1.500731e-11
12,241.86792000000003,6.315789473684211,1.485916e-11
13,261.71873999999997,6.842105263157895,1.535301e-11
14,281.55516,7.368421052631579,1.367391e-11
15,301.39302,7.894736842105263,1.184657e-11
16,321.2631,8.421052631578947,1.238985e-11
17,341.14266000000003,8.947368421052632,1.15009e-11
18,361.04958,9.473684210526315,1.367385e-11
19,380.86512,10.0,1.431591e-11
