,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure
0,1.1666666666666667e-07,0.0,1.258737e-11
1,0.006661749999999999,1.1111111111111112,2.113127e-11
2,0.0121712,2.2222222222222223,2.261289e-11
3,0.01764985,3.3333333333333335,2.537854e-11
4,0.023125816666666667,4.444444444444445,2.014354e-11
5,0.0286193,5.555555555555555,2.083494e-11
6,0.03409773333333333,6.666666666666667,2.300797e-11
7,0.039594866666666666,7.777777777777779,2.51316e-11
8,0.0450912,8.88888888888889,2.44402e-11
9,0.050601349999999996,10.0,2.527976e-11
