,Time (min),Voltage Set,Current Measure
0,2.8333333333333336e-07,0.0,1.01181e-11
1,0.00656495,0.5263157894736842,1.38714e-11
2,0.012112050000000001,1.0526315789473684,1.401959e-11
3,0.017618666666666668,1.5789473684210527,1.130331e-11
4,0.023133766666666666,2.1052631578947367,1.629137e-11
5,0.028638366666666668,2.631578947368421,1.569871e-11
6,0.03413811666666667,3.1578947368421053,1.505669e-11
7,0.039656866666666665,3.6842105263157894,1.446407e-11
8,0.045190966666666665,4.2105263157894735,1.327879e-11
9,0.0507214,4.7368421052631575,1.579746e-11
10,0.0562583,5.263157894736842,1.35751e-11
11,0.061787833333333333,5.789473684210526,1.362452e-11
12,0.06731736666666667,6.315789473684211,1.39702e-11
13,0.07282696666666667,6.842105263157895,1.441468e-11
14,0.07835895,7.368421052631579,1.288368e-11
15,0.08388003333333334,7.894736842105263,1.43159e-11
16,0.08939691666666666,8.421052631578947,1.490854e-11
17,0.09492093333333333,8.947368421052632,1.456284e-11
18,0.10044951666666666,9.473684210526315,1.510609e-11
19,0.105975,10.0,1.253798e-11
