,Time (sec),Voltage Set,Current Measure
0,0.0,0.0,7.500514e-12
1,0.25,1.1111111111111112,2.093373e-11
2,0.5,2.2222222222222223,2.043987e-11
3,0.75,3.3333333333333335,2.365001e-11
4,1.0,4.444444444444445,2.690952e-11
5,1.25,5.555555555555555,2.172391e-11
6,1.5,6.666666666666667,2.720584e-11
7,1.75,7.777777777777779,2.350182e-11
8,2.0,8.88888888888889,2.523036e-11
9,2.25,10.0,2.004477e-11
