,Time (min),Voltage Set,Current Measure,Voltage Set,Current Measure
0,2.8333333333333336e-07,0.0,1.268616e-11,1.0,-4.577972e-12
1,0.008937116666666666,1.1111111111111112,2.364999e-11,2.111111111111111,4.186492e-12
2,0.015809316666666667,2.2222222222222223,1.984722e-11,3.2222222222222223,1.512781e-12
3,0.022660266666666665,3.3333333333333335,1.91558e-11,4.333333333333334,1.196008e-11
4,0.029522733333333332,4.444444444444445,2.043987e-11,5.444444444444445,6.66215e-12
5,0.036398799999999995,5.555555555555555,2.271166e-11,6.555555555555555,1.02766e-11
6,0.043199800000000003,6.666666666666667,2.236594e-11,7.666666666666667,7.454334e-12
7,0.050068466666666665,7.777777777777779,2.305735e-11,8.777777777777779,7.652434e-12
8,0.0569176,8.88888888888889,2.379815e-11,9.88888888888889,1.007855e-11
9,0.06373918333333334,10.0,2.508222e-11,11.0,1.522796e-11
