,Time (min),Voltage Set,Current Measure,Current Set,Voltage Measure
0,2.5e-07,0.0,8.043793e-12,10.0,0.09937388
1,0.008211050000000001,0.5263157894736842,1.120459e-11,10.0,0.09937298
2,0.015361216666666667,1.0526315789473684,1.451343e-11,10.0,0.09937096
3,0.02249023333333333,1.5789473684210527,1.3822e-11,10.0,0.09934862
4,0.029775083333333334,2.1052631578947367,1.530364e-11,10.0,0.09933307
5,0.03697505,2.631578947368421,1.308124e-11,10.0,0.09936242
6,0.044154016666666664,3.1578947368421053,1.495792e-11,10.0,0.09936819
7,0.051315266666666665,3.6842105263157894,1.52048e-11,10.0,0.09932218
8,0.05845535,4.2105263157894735,1.39208e-11,10.0,0.09930964
9,0.06559818333333332,4.7368421052631575,1.490857e-11,10.0,0.09932233
10,0.07276251666666668,5.263157894736842,1.54024e-11,10.0,0.09933411
11,0.07992166666666667,5.789473684210526,1.05132e-11,10.0,0.099339
12,0.08718891666666666,6.315789473684211,1.643951e-11,10.0,0.09932809
13,0.09434473333333333,6.842105263157895,1.110579e-11,10.0,0.09933659
14,0.10164365,7.368421052631579,1.525426e-11,10.0,0.09935336
15,0.10879358333333333,7.894736842105263,1.263676e-11,10.0,0.09935814
16,0.11598328333333334,8.421052631578947,1.43159e-11,10.0,0.09934729
17,0.12310221666666667,8.947368421052632,1.426647e-11,10.0,0.09931427
18,0.13024975,9.473684210526315,1.614319e-11,10.0,0.09935154
19,0.137389,10.0,1.327879e-11,10.0,0.09932543
