,Time (min),Voltage Set,Current Measure,Current Set,Voltage Measure
0,0.00072,0.0,7.451132e-12,1.0,0.09936477
1,29.07474,0.5263157894736842,1.392082e-11,1.4736842105263157,0.09934531
2,55.34994,1.0526315789473684,9.080946e-12,1.9473684210526314,0.09936307
3,81.21726,1.5789473684210527,1.194529e-11,2.4210526315789473,0.09935734
4,106.88844,2.1052631578947367,1.322939e-11,2.894736842105263,0.09936181
5,132.57408,2.631578947368421,1.100698e-11,3.3684210526315788,0.09936226
6,158.8107,3.1578947368421053,1.288369e-11,3.8421052631578947,0.09937705
7,184.53996,3.6842105263157894,1.377261e-11,4.315789473684211,0.09938219
8,210.20358,4.2105263157894735,1.634076e-11,4.789473684210526,0.09935196
9,235.96716,4.7368421052631575,1.708156e-11,5.263157894736842,0.09937999
10,262.14995999999996,5.263157894736842,1.530365e-11,5.7368421052631575,0.09936076
11,287.90748,5.789473684210526,1.288367e-11,6.2105263157894735,0.09935591
12,313.60518,6.315789473684211,7.599329e-12,6.684210526315789,0.09934287
13,339.8229,6.842105263157895,1.466158e-11,7.157894736842105,0.0993612
14,365.54130000000004,7.368421052631579,1.095761e-11,7.63157894736842,0.09929553
15,391.22388,7.894736842105263,1.540239e-11,8.105263157894736,0.09933541
16,416.93466,8.421052631578947,1.337756e-11,8.578947368421051,0.09931725
17,442.62510000000003,8.947368421052632,1.258738e-11,9.052631578947368,0.09934918
18,468.31068,9.473684210526315,1.476036e-11,9.526315789473683,0.09936215
19,494.06711999999993,10.0,1.5353e-11,10.0,0.09933539
