,0,1,2,3
0,0.0,1.308113e-11,1.0,-1.05202e-11
1,2.5,3.935433e-11,3.5,2.785384e-11
2,5.0,3.970002e-11,6.0,2.770535e-11
3,7.5,3.816919e-11,8.5,3.072559e-11
4,10.0,4.266289e-11,11.0,2.983436e-11
