,0,1,2
0,GPIB::3,"[0.0, 1.1111111111111112, 2.2222222222222223, 3.3333333333333335, 4.444444444444445, 5.555555555555555, 6.666666666666667, 7.777777777777779, 8.88888888888889, 10.0]","[7.895644e-12, 2.192144e-11, 2.967519e-11, 1.895827e-11, 2.493405e-11, 2.977396e-11, 2.473651e-11, 2.281043e-11, 2.552671e-11, 2.542793e-11]"
1,GPIB::7,"[1.0, 2.111111111111111, 3.2222222222222223, 4.333333333333334, 5.444444444444445, 6.555555555555555, 7.666666666666667, 8.777777777777779, 9.88888888888889, 11.0]","[-1.141152e-11, 1.205905e-11, 7.205036e-13, -2.300125e-12, 7.553369e-12, 3.839888e-12, -1.012644e-12, 4.335023e-12, 9.088258e-12, -3.983739e-12]"
