,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure
0,0.0007342666666666667,0.0,8.98214e-12
1,0.007224616666666667,1.1111111111111112,2.384754e-11
2,0.012756849999999998,2.2222222222222223,2.414387e-11
3,0.018290916666666667,3.3333333333333335,2.305733e-11
4,0.023824699999999997,4.444444444444445,2.567485e-11
5,0.029360483333333333,5.555555555555555,2.458834e-11
6,0.03488715,6.666666666666667,2.463773e-11
7,0.040405616666666665,7.777777777777779,2.542789e-11
8,0.04593945,8.88888888888889,2.47365e-11
9,0.051459649999999996,10.0,2.241531e-11
