,0,1,2
0,GPIB::3,"[0.0, 1.1111111111111112, 2.2222222222222223, 3.3333333333333335, 4.444444444444445, 5.555555555555555, 6.666666666666667, 7.777777777777779, 8.88888888888889, 10.0]","[9.27843e-12, 2.06868e-11, 2.463774e-11, 2.231657e-11, 1.950154e-11, 2.043988e-11, 2.167454e-11, 2.157576e-11, 2.182269e-11, 2.276104e-11]"
1,GPIB::7,"[1.0, 2.111111111111111, 3.2222222222222223, 4.333333333333334, 5.444444444444445, 6.555555555555555, 7.666666666666667, 8.777777777777779, 9.88888888888889, 11.0]","[-1.086674e-11, 1.908885e-12, 5.671869e-12, 5.770893e-12, 8.840692e-12, 4.681611e-12, 4.830146e-12, 4.582588e-12, 4.929179e-12, -5.469286e-12]"
