,Time (min),GPIB::3 Voltage Set,GPIB::3 Current Measure
0,3.5e-07,0.0,1.155025e-11
1,0.006555983333333334,1.1111111111111112,2.542793e-11
2,0.0120826,2.2222222222222223,2.246472e-11
3,0.017592066666666666,3.3333333333333335,2.340308e-11
4,0.02310075,4.444444444444445,2.039048e-11
5,0.028595233333333334,5.555555555555555,2.063742e-11
6,0.03409466666666667,6.666666666666667,2.246473e-11
7,0.039619749999999995,7.777777777777779,2.345245e-11
8,0.04514311666666667,8.88888888888889,2.202024e-11
9,0.050676233333333334,10.0,2.582302e-11
